name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
		NetInvestmentPurchaseAndSale,"5,900,000","4,100,000","400,000","100,000","1,300,000","-300,000","-100,000","100,000","-500,000","-300,000","-400,000","-400,000","-400,000","-200,000","-400,000","-51,000,000","-300,000","-300,000","-400,000","-15,500,000","-400,000","1,000,000","-700,000","-300,000","-2,300,000","-1,100,000","-5,200,000","-9,600,000","-10,300,000","-5,500,000","-6,500,000","-8,900,000","-13,300,000","-6,000,000","-1,300,000","-600,000","500,000","-16,900,000","-3,100,000","-4,900,000","-12,100,000","-13,600,000","-5,300,000","-9,200,000","-2,500,000","0","13,200,000","-9,500,000","-3,800,000","0","100,000","-500,000","-100,000","300,000","12,900,000","-20,200,000","-7,500,000","100,000","200,000","2,700,000","-5,100,000","10,800,000","2,600,000",,,"300,000","100,000",,,,,,,,,,,,,,,,,"0","-3,142,000","-275,000","1,166,000","37,000","2,785,000","6,347,000","323,000","-975,000","-1,113,000","186,000","-697,000","900,000","-1,000,000","-2,200,000","-400,000","800,000","1,100,000","14,600,000","500,000","1,900,000","-2,500,000","1,900,000","500,000","6,100,000","-100,000","500,000","500,000","600,000","14,600,000","-13,700,000","-1,100,000","-24,700,000","23,200,000","2,900,000","2,900,000","-100,000","600,000","-1,800,000","-4,000,000","30,700,000","-7,700,000","-19,700,000","-5,500,000","-5,300,000","-4,900,000","-4,300,000","-11,200,000","5,500,000","400,000","3,200,000","2,300,000"
			PurchaseOfInvestment,,,,,,,"-100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-20,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-6,875,000","-5,630,000","-3,499,000","-3,671,000","-1,277,000","-4,540,000","-4,469,000","-2,281,000","-8,985,000","-5,956,000","-8,610,000","-6,200,000","-10,000,000","-14,200,000","-13,600,000","-9,800,000","-6,700,000","-8,000,000","-8,800,000","-10,300,000","-10,000,000","-5,500,000","-4,400,000","-5,300,000","-4,400,000","-8,200,000","-5,800,000","-6,900,000","-9,500,000","-1,300,000","-4,200,000",,,"-10,900,000","-10,800,000","-18,800,000","-8,500,000","-16,800,000","-12,700,000","-9,300,000","-7,700,000","-12,900,000","-12,300,000","-10,400,000","-14,100,000","-20,000,000","-12,700,000","-12,700,000","-12,400,000","-3,900,000","-4,200,000"
			SaleOfInvestment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000",,"-100,000","300,000","12,900,000",,,"100,000","200,000","2,700,000","-5,100,000","10,800,000","2,600,000",,,"300,000","100,000",,,,,,,,,,,,,,,,,"0","3,733,000","5,355,000","4,665,000","3,708,000","4,062,000","10,887,000","4,792,000","1,306,000","7,872,000","6,142,000","7,913,000","7,100,000","9,000,000","12,000,000","13,200,000","10,600,000","7,800,000","22,600,000","9,300,000","12,200,000","7,500,000","7,400,000","4,900,000","11,400,000","4,300,000","8,700,000","6,300,000","7,500,000","24,100,000","-12,400,000","3,100,000","3,700,000","1,500,000","13,800,000","13,700,000","18,700,000","9,100,000","15,000,000","8,700,000",,,,"6,800,000","5,100,000","9,200,000","15,700,000","1,500,000","18,200,000","12,800,000","7,100,000","6,500,000"
		NetOtherInvestingChanges,"-44,500,000","-20,100,000","84,000,000","-60,200,000","-48,200,000","-25,000,000","64,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000",,,,,"-6,200,000",,,"-26,200,000","-800,000","25,200,000","5,300,000","-1,200,000","700,000","900,000","2,400,000","4,600,000","500,000",,,"-928,000","8,371,000","1,024,000","-6,570,000","-25,348,000","-1,720,000","-9,041,000","-11,694,000","-14,189,000","-570,000","-5,046,000","-16,005,000","-2,200,000","-10,200,000","-2,700,000","-5,500,000","-6,400,000","-16,500,000","-14,100,000","-15,200,000","-6,800,000","-6,200,000","-7,000,000","-6,100,000","-4,500,000","100,000",,,"0","100,000","100,000","100,000","5,200,000","-5,000,000","300,000","-100,000","-4,600,000","900,000","-7,600,000","-9,100,000","-2,700,000","-1,300,000",,,"0","300,000","-1,200,000","100,000","-200,000","600,000",,
	CashFromDiscontinuedInvestingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,300,000","0","0","31,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FinancingCashFlow,"1,410,100,000","1,602,200,000","958,100,000","-253,100,000","-269,200,000","199,800,000","-200,300,000","682,500,000","-662,800,000","2,782,500,000","-118,100,000","-123,900,000","-128,700,000","-400,400,000","147,900,000","9,700,000","8,600,000","112,700,000","507,400,000","5,200,000","-44,800,000","132,100,000","69,500,000","-1,200,000","-165,600,000","99,100,000","19,900,000","2,300,000","-14,500,000","80,200,000","-34,100,000","-11,100,000","-36,000,000","141,600,000","-104,400,000","-58,000,000","-255,300,000","1,501,600,000","409,500,000","361,300,000","104,100,000","129,400,000","-92,200,000","61,000,000","-25,300,000","-59,500,000","69,700,000","-6,700,000","-63,700,000","18,000,000","118,000,000","-23,400,000","-32,100,000","-55,800,000","15,100,000","-11,900,000","-92,700,000","-62,400,000","61,600,000","-14,500,000","-6,400,000","25,500,000","35,400,000","-94,000,000","92,100,000","-37,200,000","80,600,000","-45,800,000","-61,400,000","4,600,000","-16,000,000","-22,500,000","-24,500,000","-20,200,000","-13,800,000","-39,600,000","-35,200,000","-11,100,000","-21,300,000","-39,000,000","-52,100,000","-12,100,000","-39,000,000","-17,528,000","-54,795,000","14,241,000","11,132,000","-12,861,000","-41,660,000","-19,769,000","-22,693,000","-20,269,000","-23,273,000","-2,169,000","-9,790,000","-4,200,000","-16,500,000","10,400,000","-17,400,000","-16,000,000","-9,900,000","20,400,000","-12,200,000","11,000,000","-11,600,000","-7,100,000","-12,200,000","6,100,000","-11,500,000","-19,200,000","-3,500,000","-12,200,000","-3,700,000","-5,500,000","-2,100,000","-37,400,000","-7,600,000","-7,900,000","-26,000,000","3,200,000","-4,300,000","-1,600,000","4,700,000","-100,000","-11,400,000","-3,900,000","-5,000,000","-7,500,000","-5,700,000","-3,400,000","-1,500,000","-2,100,000","-2,900,000","-2,900,000","-1,700,000"
	CashFlowFromContinuingFinancingActivities,"1,410,100,000","1,602,200,000","958,100,000","-253,100,000","-269,200,000","199,800,000","-200,300,000","682,500,000","-662,800,000","2,782,500,000","-118,100,000","-123,900,000","-128,700,000","-400,400,000","147,900,000","9,700,000","8,600,000","112,700,000","507,400,000","5,200,000","-44,800,000","132,100,000","69,500,000","-1,200,000","-165,600,000","99,100,000","19,900,000","2,300,000","-14,500,000","80,200,000","-34,100,000","-11,100,000","-36,000,000","141,600,000","-104,400,000","-58,000,000","-255,300,000","1,501,600,000","409,500,000","361,300,000","104,100,000","129,400,000","-92,200,000","61,000,000","-25,300,000","-59,500,000","69,700,000","-6,700,000","-63,700,000","18,000,000","118,000,000","-23,400,000","-32,100,000","-55,800,000","15,100,000","-11,900,000","-92,700,000","-62,400,000","61,600,000","-14,500,000","-6,400,000","25,500,000","35,400,000","-94,000,000","92,100,000","-37,200,000","80,600,000","-45,800,000","-61,400,000","4,600,000","-16,000,000","-22,500,000","-24,500,000","-20,200,000","-13,800,000","-39,600,000","-35,200,000","-11,100,000","-21,300,000","-39,000,000","-52,100,000","-12,100,000","-39,000,000","-17,528,000","-54,795,000","14,241,000","11,132,000","-12,861,000","-41,660,000","-19,769,000","-22,693,000","-20,269,000","-23,273,000","-2,169,000","-9,790,000","-4,200,000","-16,500,000","10,400,000","-17,400,000","-16,000,000","-9,900,000","20,400,000","-12,200,000","11,000,000","-11,600,000","-7,100,000","-12,200,000","6,100,000","-11,500,000","-19,200,000","-3,500,000","-12,200,000","-3,700,000","-5,500,000","-2,100,000","-37,400,000","-7,600,000","-7,900,000","-26,000,000","3,200,000","-4,300,000","-1,600,000","4,700,000","-100,000","-11,400,000","-3,900,000","-5,000,000","-7,500,000","-5,700,000","-3,400,000","-1,500,000","-2,100,000","-2,900,000","-2,900,000","-1,700,000"
		NetIssuancePaymentsOfDebt,"694,600,000","275,500,000","750,000,000","-141,800,000","-189,100,000","276,700,000","-107,000,000","784,100,000","-573,800,000","1,578,300,000","-29,600,000","-50,600,000","-70,600,000","-266,400,000","308,500,000","126,000,000","103,600,000","195,100,000","574,500,000","98,900,000","48,500,000","220,800,000","139,700,000","97,600,000","-95,700,000","169,500,000","89,200,000","68,700,000","51,600,000","209,800,000","66,700,000","61,500,000","32,000,000","38,700,000","-53,300,000","-35,800,000","-208,700,000","624,600,000","436,900,000","395,000,000","135,500,000","150,000,000","-79,000,000","129,000,000","2,000,000","-44,000,000","82,000,000","10,000,000","-35,000,000","35,000,000","125,000,000","0","0","-35,000,000","35,000,000","19,000,000","-62,000,000","-29,000,000","90,000,000","14,000,000","13,000,000","49,000,000","56,000,000","0","170,400,000","109,300,000","116,800,000","-700,000","-35,800,000","34,200,000","-600,000","-2,400,000","-1,700,000","-300,000","-200,000","-1,800,000","1,000,000","1,900,000","2,200,000","1,800,000","-10,200,000","8,200,000","-23,000,000","-5,612,000","-30,951,000","17,757,000","18,331,000","30,000,000","-3,500,000",,,"0","-5,000,000","-5,000,000","-5,000,000",,"-11,500,000","12,500,000","-5,000,000","-7,500,000","0","22,000,000","-15,600,000","15,000,000","-10,000,000","2,000,000","-3,100,000","10,000,000","-500,000","0","-600,000","0","0","-500,000","-600,000","-20,000,000","-500,000","0","-4,300,000",,,,,,,,,,,,,,,,
			NetLongTermDebtIssuance,"668,100,000","-250,000,000","893,700,000","24,800,000","-400,000","-200,700,000","100,000","739,100,000","-611,600,000","1,616,100,000","-29,600,000","-50,600,000","29,400,000","-86,400,000","548,500,000","-4,000,000","38,600,000","130,100,000","579,500,000","-36,100,000","19,000,000",,,"-17,400,000","116,000,000",,,"50,000,000","0",,,"19,500,000","4,400,000","0","0","-28,800,000","-202,700,000","839,000,000","600,000,000","0","0",,,"0","50,000,000","0","0","0","0","0","125,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LongTermDebtIssuance,,"-250,000,000","893,700,000",,,,"100,000","6,100,000","121,400,000","1,561,500,000","25,000,000","-50,600,000","29,400,000","-86,400,000","548,500,000","-4,000,000","38,600,000","130,100,000","579,500,000","-36,100,000","19,000,000",,,"282,600,000","116,000,000",,,"100,000,000","0",,,"19,500,000","4,400,000","0","0","-28,800,000","-202,700,000","839,000,000","600,000,000","0","0",,,"0","50,000,000","0","0","0","0","0","125,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LongTermDebtPayments,,,,"-500,000","-400,000",,,,,,"-54,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetShortTermDebtIssuance,"26,500,000","525,500,000","-143,700,000","-166,600,000","-188,700,000","477,400,000","-107,100,000","45,000,000","37,800,000","-37,800,000","0","0","-100,000,000","-180,000,000","-240,000,000","130,000,000","65,000,000","65,000,000","-5,000,000","135,000,000","29,500,000","-229,200,000","139,700,000","115,000,000","-211,700,000","-80,500,000","89,200,000","18,700,000","51,600,000","-66,200,000","66,700,000","42,000,000","27,600,000","38,700,000","-53,300,000","-7,000,000","-6,000,000","-214,400,000","-163,100,000","395,000,000","135,500,000","-50,000,000","-79,000,000","129,000,000","-48,000,000","-44,000,000","82,000,000","10,000,000","-35,000,000","35,000,000","0","0","0","-35,000,000","35,000,000","-131,000,000","-62,000,000","-29,000,000","90,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ShortTermDebtIssuance,"3,115,000,000","1,520,000,000","605,000,000","243,400,000","746,600,000","1,200,000,000","380,000,000","355,000,000","0","495,000,000","430,000,000","0","80,000,000","820,000,000","1,730,000,000","1,580,000,000","735,000,000","975,000,000","1,025,000,000","780,000,000","490,000,000","990,000,000","815,000,000","420,000,000","1,113,000,000","1,155,000,000","955,000,000","1,120,500,000","597,000,000","690,500,000","332,000,000","315,000,000","271,000,000","246,000,000","17,000,000","92,500,000","147,000,000","503,000,000","367,400,000","445,000,000","217,500,000","210,000,000","18,000,000","141,000,000","0","5,000,000","157,000,000","49,000,000","17,000,000","85,000,000","0","0","0","13,000,000","35,000,000","22,000,000","27,000,000","15,000,000","90,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ShortTermDebtPayments,"-3,088,500,000","-994,500,000","-748,700,000","-410,000,000","-935,300,000","-722,600,000","-487,100,000","-310,000,000","37,800,000","-532,800,000","-430,000,000","0","-180,000,000","-1,000,000,000","-1,970,000,000","-1,450,000,000","-670,000,000","-910,000,000","-1,030,000,000","-645,000,000","-460,500,000","-1,219,200,000","-675,300,000","-305,000,000","-1,324,700,000","-1,235,500,000","-865,800,000","-1,101,800,000","-545,400,000","-756,700,000","-265,300,000","-273,000,000","-243,400,000","-207,300,000","-70,300,000","-99,500,000","-153,000,000","-717,400,000","-530,500,000","-50,000,000","-82,000,000","-260,000,000","-97,000,000","-12,000,000","-48,000,000","-49,000,000","-75,000,000","-39,000,000","-52,000,000",,,"0","0",,,"-153,000,000","-89,000,000","-44,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"120,000,000","35,700,000","30,300,000","20,900,000","33,100,000","23,200,000","45,900,000","22,100,000","22,600,000","1,464,800,000","37,200,000","28,300,000","25,400,000","34,300,000","23,900,000","18,100,000","18,000,000","32,300,000","32,800,000","12,000,000","22,200,000","15,400,000","21,000,000","-7,500,000","15,300,000","14,600,000","20,300,000","8,800,000","15,900,000","-56,500,000","-23,600,000","4,300,000","10,800,000","170,100,000","18,100,000","36,400,000","12,600,000","929,900,000","18,100,000","11,700,000","13,100,000","24,400,000","27,000,000","19,900,000","12,300,000","21,900,000","26,700,000","19,000,000","8,100,000","19,600,000","26,000,000","10,100,000","3,000,000","11,000,000","11,800,000","1,400,000","1,700,000","1,800,000","2,400,000","1,800,000","7,700,000","5,000,000","6,800,000","-64,900,000","-49,800,000","-116,800,000","-8,100,000","-16,200,000","2,900,000","-7,300,000","11,400,000","6,600,000","3,700,000","6,200,000","9,400,000","-14,700,000","-13,200,000","9,600,000","-7,300,000","-24,600,000","-25,600,000","-3,900,000","-3,000,000","1,280,000","-10,594,000","9,333,000","3,865,000","-31,823,000","-26,670,000","-9,797,000","-8,578,000","-10,177,000","1,581,000","2,373,000","2,716,000","4,900,000","-2,300,000","5,000,000","-4,500,000","4,000,000","-7,800,000","6,200,000","6,800,000","400,000","1,800,000","-3,800,000","-4,500,000","2,600,000","-1,300,000","-14,600,000","1,900,000","-7,300,000","1,400,000","-2,200,000","1,900,000","-14,700,000","-3,700,000","-3,700,000","-17,900,000","300,000","-2,300,000","1,200,000","7,000,000","2,300,000","-9,200,000","-1,800,000","-2,800,000","-5,300,000","-900,000","200,000","300,000","-300,000","-1,200,000","-1,200,000","-200,000"
			CommonStockIssuance,"120,000,000","35,700,000","30,300,000","20,900,000","33,100,000","23,200,000","45,900,000","22,100,000","22,600,000","1,464,800,000","37,200,000","28,300,000","25,400,000","34,300,000","23,900,000","18,100,000","18,000,000","32,300,000","32,800,000","12,000,000","22,200,000","15,400,000","32,300,000","10,200,000","15,300,000","14,600,000","20,300,000","8,800,000","15,900,000","14,100,000","6,800,000","4,300,000","10,800,000","170,100,000","18,100,000","36,400,000","12,600,000","929,900,000","18,100,000","11,700,000","13,100,000","24,400,000","27,000,000","21,400,000","12,300,000","21,900,000","26,700,000","19,100,000","8,100,000","20,400,000","26,300,000","10,300,000","3,300,000","11,100,000","12,000,000","1,700,000","2,100,000","1,900,000","2,600,000","1,900,000","7,800,000","5,500,000","7,400,000","2,800,000","6,400,000","5,400,000","7,600,000","4,600,000","3,100,000","4,400,000","12,000,000","6,800,000","4,000,000","7,900,000","9,400,000","4,100,000","5,900,000","9,600,000","11,000,000","7,400,000","3,600,000","9,700,000","3,000,000","1,314,000","1,034,000","9,333,000","3,865,000","5,153,000","15,367,000","2,477,000","4,258,000","7,967,000","1,960,000","7,830,000","10,080,000","6,500,000","800,000","7,200,000","7,000,000","5,700,000","-800,000","6,200,000","6,800,000","3,000,000","3,100,000","2,600,000","2,300,000","2,600,000","100,000","3,300,000","3,900,000","1,100,000","2,900,000","800,000","4,100,000","700,000","1,600,000","900,000","600,000","1,300,000","3,700,000","1,200,000","7,000,000","2,300,000","600,000","800,000","700,000","400,000","100,000","200,000","400,000","400,000","1,800,000","-1,700,000","300,000"
			CommonStockPayments,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-11,300,000","-17,700,000","0","0","0","0","0","-70,600,000","-30,400,000",,,,,,,,,,,,,"-1,500,000","0","0","0","-100,000","0","-800,000","-300,000","-200,000","-300,000","-100,000","-200,000","-300,000","-400,000","-100,000","-200,000","-100,000","-100,000","-500,000","-600,000","-67,700,000","-56,200,000","-122,200,000","-15,700,000","-20,800,000","-200,000","-11,700,000","-600,000","-200,000","-300,000",,,"-18,800,000","-19,100,000","0","-18,300,000","-32,000,000","-29,200,000","-13,600,000","-6,000,000","-34,000",,,,"-36,976,000","-42,037,000","-12,274,000","-12,836,000","-18,144,000","-379,000","-5,457,000","-7,364,000","-1,600,000","-3,100,000","-2,200,000","-11,500,000","-1,700,000",,,,"-2,600,000","-1,300,000","-6,400,000","-6,800,000","0","-1,400,000","-17,900,000","-2,000,000","-8,400,000","-1,500,000","-3,000,000","-2,200,000","-15,400,000","-5,300,000","-4,600,000","-18,500,000","-1,000,000",,,,"0","-9,800,000","-2,600,000","-3,500,000","-5,700,000","-1,000,000","0","-100,000","-700,000",,,"-500,000"
		CashDividendsPaid,"-451,400,000","-118,500,000","-117,400,000","-108,000,000","-107,500,000","-107,300,000","-106,700,000","-99,800,000","-89,800,000","-105,000,000","-97,400,000","-87,300,000","-86,600,000","-86,100,000","-87,400,000","-81,300,000","-80,100,000","-80,100,000","-79,600,000","-75,600,000","-75,300,000","-74,800,000","-76,100,000","-71,100,000","-70,000,000","-70,200,000","-71,400,000","-67,900,000","-67,900,000","-67,500,000","-68,900,000","-65,000,000","-67,200,000","-62,600,000","-62,700,000","-58,800,000","-58,200,000","-56,800,000","-49,300,000","-46,600,000","-45,900,000","-45,900,000","-44,200,000","-84,700,000","-41,100,000","-39,800,000","-38,800,000","-37,200,000","-37,000,000","-36,900,000","-34,700,000","-33,800,000","-33,800,000","-33,100,000","-32,800,000","-32,600,000","-32,400,000","-32,100,000","-30,800,000","-30,400,000","-29,900,000","-29,700,000","-28,500,000","-29,100,000","-29,500,000","-30,700,000","-29,500,000","-29,400,000","-29,200,000","-29,000,000","-26,800,000","-26,700,000","-26,500,000","-26,100,000","-23,000,000","-23,100,000","-23,000,000","-22,600,000","-16,200,000","-16,200,000","-16,300,000","-16,400,000","-13,000,000","-13,196,000","-13,250,000","-12,849,000","-11,064,000","-11,038,000","-10,943,000","-10,489,000","-9,148,000","-9,051,000","-8,776,000","-8,564,000","-7,368,000","-7,300,000","-7,300,000","-7,200,000","-6,200,000","-6,100,000","-6,000,000","-6,000,000","-5,100,000","-5,100,000","-5,100,000","-5,100,000","-4,700,000","-4,700,000","-4,400,000","-4,500,000","-3,900,000","-3,900,000","-3,800,000","-3,700,000","-3,300,000","-3,300,000","-3,300,000","-3,400,000","-2,700,000","-2,700,000","-2,700,000","-2,600,000","-2,300,000","-2,200,000","-2,200,000","-2,100,000","-2,200,000","-2,200,000","-2,100,000","-1,900,000","-1,800,000","-1,800,000","-1,700,000","-1,700,000","-1,500,000"
			CommonStockDividendPaid,,,"-117,400,000",,,,,,,,,"-87,300,000","-86,600,000","-86,100,000","-87,400,000","-81,300,000","-80,100,000","-80,100,000","-79,600,000","-75,600,000","-75,300,000","-74,800,000","-76,100,000","-71,100,000","-70,000,000","-70,200,000","-71,400,000","-67,900,000","-67,900,000","-67,500,000","-68,900,000","-65,000,000","-67,200,000","-62,600,000","-62,700,000","-58,800,000","-58,200,000","-56,800,000","-49,300,000","-46,600,000","-45,900,000","-45,900,000","-44,200,000","-84,700,000","-41,100,000","-39,800,000","-38,800,000","-37,200,000","-37,000,000","-36,900,000","-34,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"1,046,900,000","1,409,500,000","295,200,000","-24,200,000","-5,700,000","7,200,000","-32,500,000","-23,900,000","-21,800,000","-155,600,000","-28,300,000","-14,300,000","3,100,000","-82,200,000","-97,100,000","-53,100,000","-32,900,000","-34,600,000","-20,300,000","-30,100,000","-40,200,000","-29,300,000","-15,100,000","-20,200,000","-15,200,000","-14,800,000","-18,200,000","-7,300,000","-14,100,000","-5,600,000","-8,300,000","-11,900,000","-11,600,000","-4,600,000","-6,500,000","200,000","-1,000,000","3,900,000","3,800,000","1,200,000","1,400,000","900,000","4,000,000","-3,200,000","1,500,000","2,400,000","-200,000","1,500,000","200,000","300,000","1,700,000","300,000","-1,300,000","1,300,000","1,100,000","300,000","0",,,"100,000","2,800,000","1,200,000","1,100,000","0","1,000,000","1,000,000","1,400,000","500,000","700,000",,,,,,,,,,,,,,,,,,,"0","-547,000","-7,983,000","-4,967,000","-1,041,000","-11,078,000","9,022,000","-138,000","-5,800,000","4,600,000","100,000","-1,700,000","-6,400,000","3,900,000","-1,800,000","1,700,000","700,000","1,700,000","-200,000","100,000","-1,800,000","-5,300,000","-100,000","-900,000","-1,000,000","-1,300,000","900,000","-100,000","600,000","-100,000","-800,000","-1,100,000","-100,000","700,000",,,,,,,"0","-2,700,000",,,,,,
EndCashPosition,"6,925,700,000","6,942,200,000","6,091,000,000","4,964,200,000","5,276,800,000","4,789,700,000","4,638,700,000","4,466,300,000","6,012,300,000","6,375,000,000","3,360,900,000","3,574,300,000","3,474,800,000","3,002,700,000","2,633,200,000","2,623,900,000","2,607,300,000","2,546,600,000","2,540,800,000","2,236,800,000","2,260,500,000","2,344,700,000","2,108,700,000","2,305,000,000","564,900,000","587,800,000","564,000,000","545,500,000","531,800,000","411,100,000","425,400,000","480,400,000","369,700,000","321,700,000","276,800,000","314,400,000","290,500,000","973,500,000","739,200,000","298,100,000","286,900,000","240,000,000","224,000,000","302,100,000","305,200,000","282,100,000","301,800,000","291,200,000","241,400,000","263,200,000","333,200,000","249,800,000","296,300,000","230,000,000","227,100,000","205,900,000","237,900,000","226,100,000","192,500,000","194,400,000","249,600,000","232,900,000","185,200,000","255,900,000","351,400,000","210,900,000","158,800,000","208,000,000","231,100,000","222,400,000","184,000,000","317,800,000","313,900,000","243,100,000","212,300,000","224,600,000","297,300,000","258,300,000","211,500,000","193,600,000","178,200,000","149,000,000","165,000,000","152,536,000","128,644,000","110,589,000","103,197,000","97,334,000","124,238,000","100,930,000","95,972,000","99,904,000","92,741,000","63,237,000","65,935,000","61,100,000","65,700,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
	ChangesInCash,"2,136,000,000","806,100,000","1,130,000,000","-495,400,000","695,300,000","257,900,000","140,000,000","-1,464,600,000","-329,500,000","3,000,300,000","-249,700,000","-13,000,000","433,700,000","258,400,000","151,500,000","-36,400,000","110,500,000","37,000,000","269,900,000","9,200,000","-61,600,000","304,200,000","-235,000,000","302,900,000","-37,400,000","18,400,000","11,500,000","28,800,000","122,500,000","-11,400,000","-53,100,000","113,600,000","57,700,000","41,200,000","-31,400,000","10,100,000","-678,200,000","215,400,000","441,100,000","11,400,000","43,700,000","19,500,000","-73,800,000","-3,200,000","19,000,000","-19,700,000","10,600,000","49,800,000","-21,800,000","-70,000,000","83,400,000","-46,500,000","66,300,000","2,900,000","21,200,000","-32,000,000","11,800,000","33,600,000","-1,900,000","-55,200,000","16,700,000","47,700,000","-70,700,000","-95,500,000","140,500,000","52,100,000","-49,200,000","-23,100,000","8,700,000","38,400,000","-133,800,000","3,900,000","70,800,000","30,800,000","-12,300,000","-72,700,000","39,000,000","46,800,000","17,900,000","15,400,000","29,200,000","-15,600,000","12,000,000","23,892,000","18,055,000","7,392,000","4,667,000","-26,904,000","22,184,000","-18,852,000","-20,925,000","4,634,000","26,118,000","-6,479,000","3,478,000","-5,000,000","18,700,000","2,900,000","-20,500,000","-5,000,000","1,500,000","12,100,000","-19,100,000","13,200,000","-3,700,000","9,400,000","-8,800,000","-4,400,000","8,300,000","-15,400,000","9,600,000","-16,600,000","15,400,000","4,700,000","5,800,000","-27,100,000","32,200,000","-3,300,000","-5,600,000","-14,800,000","17,200,000","-500,000","-1,600,000","-10,600,000","11,100,000","6,200,000","-14,000,000","-11,700,000","28,300,000","-1,700,000","-23,100,000","5,800,000","22,700,000","-2,100,000","12,400,000"
